Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1960, 138.1, 45.1, 131.4, 65.5, 119.6, 42.4, 21.6, 32.3, 123.7, 114.8, 5.2, 14.8, 133.8, 40.6, 8.6, 31.6, 52.3, 90.8, 15.3, 101.3, 22.1, 105.0, 10.6, 72.6, 63.4, 28.6, 17.4, 50.5, 4.9, 61.6, 83.8,, 187.0, 5.2, 34.5, 36.8, 26.0, 53.6, 19.2, 100.6, 24.8, 50.3, 111.5, 25.7, 4.6, 137.1, 17.6, 43.2, 19.6, 44.5
1961, 128.9, 51.7, 87.6, 59.5, 120.0, 40.0, 21.1, 32.1, 129.4, 109.4, 7.8, 14.6, 135.7, 37.6, 8.5, 30.2, 48.0, 76.9, 17.4, 101.1, 25.7, 108.6, 12.3, 70.9, 64.6, 32.1, 18.9, 62.5, 7.2, 59.3, 71.5,, 169.5, 8.3, 32.5, 51.5, 23.9, 52.2, 26.9, 96.1, 18.8, 63.0, 109.1, 20.4, 5.3, 141.1, 18.7, 42.6, 18.5, 42.6
1962, 119.0, 54.5, 97.7, 54.8, 121.7, 51.8, 21.8, 28.6, 115.3, 98.5, 14.3, 17.9, 158.3, 40.7, 6.7, 35.5, 47.5, 84.7, 15.7, 97.6, 29.5, 112.5, 14.1, 73.0, 87.3, 25.7, 16.6, 77.9, 18.8, 69.8, 71.4,, 168.3, 8.3, 36.6, 48.9, 27.8, 53.3, 31.1, 87.2, 20.9, 56.1, 105.3, 24.7, 3.6, 142.4, 24.6, 41.3, 16.9, 17.8
1963, 142.1, 66.1, 116.4, 68.6, 126.3, 42.6, 25.9, 37.0, 128.7, 116.5, 15.1, 30.6, 122.7, 44.5, 8.7, 44.0, 45.3, 114.2, 19.0, 92.6, 32.7, 105.7, 19.0, 57.9, 93.0, 27.6, 16.0, 62.2, 11.3, 73.3, 79.6,, 176.4, 13.6, 39.5, 59.6, 34.1, 58.7, 35.6, 126.5, 20.6, 60.7, 116.7, 27.7, 7.7, 144.8, 27.8, 42.5, 18.1, 32.0
1964, 163.0, 96.0, 130.2, 91.7, 138.2, 70.1, 41.9, 56.0, 184.1, 135.3, 63.8, 57.4, 149.2, 64.5, 19.0, 73.2, 61.0, 133.2, 34.3, 140.7, 46.8, 124.9, 31.5, 137.9, 106.5, 54.2, 23.7, 110.0, 11.5, 87.2, 94.9,, 214.2, 18.9, 57.9, 88.2, 56.0, 66.4, 41.6, 121.5, 42.1, 73.6, 128.2, 51.4, 12.2, 186.6, 54.0, 50.1, 27.4, 53.9
1965, 149.1, 85.0, 113.9, 95.9, 142.9, 78.6, 43.5, 42.2, 188.6, 147.0, 46.3, 53.6, 136.7, 65.6, 20.1, 71.2, 60.4, 132.6, 33.5, 181.5, 50.7, 137.0, 39.5, 139.9, 117.4, 47.5, 28.2, 95.2, 11.7, 86.3, 135.2, 152.0, 219.1, 23.6, 60.7, 80.5, 59.3, 75.7, 53.6, 134.9, 41.4, 91.1, 138.3, 56.0, 10.8, 167.5, 60.4, 55.4, 29.5, 43.2
1966, 177.7, 82.0, 122.4, 116.6, 159.1, 93.8, 45.8, 50.8, 213.0, 142.6, 53.9, 46.1, 156.4, 68.9, 25.0, 69.9, 73.5, 147.9, 36.4, 164.9, 60.5, 143.8, 44.4, 119.6, 118.5, 42.6, 31.3, 98.5, 21.4, 85.4, 152.7, 159.6, 251.3, 23.2, 67.8, 84.1, 65.2, 66.6, 62.7, 172.0, 62.9, 105.2, 150.4, 65.2, 7.4, 166.2, 72.4, 61.5, 29.2, 45.0
1967, 183.5, 98.2, 141.0, 161.3, 172.7, 98.9, 55.7, 95.4, 233.6, 128.5, 52.8, 44.5, 168.3, 67.8, 30.3, 86.0, 77.2, 167.2, 47.8, 234.5, 65.2, 167.3, 54.7, 89.0, 122.1, 49.8, 63.6, 104.7, 20.3, 92.4, 164.3, 170.5, 264.8, 18.3, 74.5, 88.9, 76.1, 66.9, 90.0, 170.7, 62.0, 130.5, 153.6, 68.2, 11.3, 152.5, 83.7, 68.4, 35.9, 67.6
1968, 168.5, 90.6, 151.9, 151.7, 194.6, 135.0, 73.7, 113.7, 263.3, 141.0, 52.4, 51.1, 172.0, 81.4, 35.0, 85.8, 85.4, 198.4, 46.2, 312.0, 76.7, 178.2, 45.9, 114.3, 143.2, 59.3, 87.3, 112.6, 25.4, 96.1, 172.5, 192.9, 291.9, 16.2, 80.7, 106.7, 100.0, 77.3, 81.9, 146.0, 52.4, 129.0, 162.3, 68.5, 21.1, 187.2, 93.7, 73.2, 39.2, 60.6
1969, 181.7, 113.8, 210.2, 148.4, 217.0, 154.0, 79.1, 154.8, 267.5, 150.7, 35.0, 83.6, 184.0, 82.7, 38.8, 93.5, 86.7, 226.0, 56.0, 311.7, 82.9, 196.3, 47.1, 110.1, 172.5, 61.4, 97.8, 158.9, 28.3, 87.9, 193.4, 201.4, 281.8, 24.4, 99.8, 116.5, 113.9, 87.1, 94.5, 163.0, 51.4, 134.3, 180.9, 74.2, 32.3, 161.6, 106.3, 67.3, 43.1, 51.6
