Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1960, 592.1, 970.5, 1782.2, 573.8, 1984.8, 1251.4, 656.9, 1314.6, 1486.5, 709.6, 1480.6, 1331.4, 1045.7, 840.7, 792.9, 895.8, 619.8, 764.3, 756.7, 968.3, 650.1, 1536.9, 916.9, 349.1, 1019.7, 1345.5, 820.9, 1989.3, 436.0, 756.6, 1524.8,, 589.6, 610.8, 956.7, 1171.2, 1371.2, 530.3, 1216.4, 824.1, 788.1, 565.2, 1288.3, 1917.9, 486.8, 949.3, 1530.1, 352.5, 810.6, 1399.7
1961, 569.4, 950.0, 1876.3, 568.2, 1950.6, 1322.3, 715.8, 1284.9, 1353.0, 746.1, 1597.9, 1394.7, 1140.6, 899.6, 759.1, 946.4, 630.8, 614.4, 705.8, 1049.6, 762.0, 1583.7, 892.5, 357.9, 1106.2, 1311.9, 864.6, 2052.2, 464.4, 755.0, 1398.2,, 607.5, 597.2, 979.0, 1123.4, 1388.7, 512.1, 1128.1, 851.8, 771.4, 559.7, 1233.2, 1482.0, 377.0, 1025.5, 1531.7, 293.3, 850.2, 1404.4
1962, 634.5, 985.4, 1895.6, 612.7, 2052.9, 1507.1, 760.1, 1381.4, 1433.7, 742.3, 1543.0, 1423.9, 1235.0, 1049.3, 780.3, 1059.7, 703.8, 683.5, 766.1, 1137.5, 853.5, 1633.1, 972.1, 377.3, 1317.9, 1289.6, 865.6, 2105.7, 604.6, 873.0, 1383.2,, 626.5, 661.4, 950.2, 1164.3, 1387.9, 565.7, 1131.6, 931.7, 715.7, 661.8, 1253.0, 1634.3, 546.9, 1018.7, 1603.9, 394.6, 831.9, 1144.4
1963, 683.4, 1213.7, 2002.1, 662.8, 2184.7, 1553.5, 877.6, 1377.9, 1575.3, 841.6, 1557.9, 1394.0, 1332.1, 1195.7, 804.8, 1081.7, 780.6, 791.3, 737.9, 1258.3, 850.6, 1797.2, 1087.9, 338.0, 1464.2, 1375.1, 971.3, 2565.5, 534.9, 945.9, 1457.9,, 648.7, 724.0, 1072.4, 1122.0, 1479.9, 612.0, 1139.1, 957.8, 740.6, 690.4, 1292.8, 1645.7, 555.6, 1093.0, 1622.6, 402.9, 958.4, 1322.6
1964, 784.1, 1218.4, 2225.8, 756.4, 2366.5, 1619.0, 1003.4, 1468.6, 1898.5, 883.9, 1612.1, 1445.1, 1380.3, 1287.0, 933.7, 1286.0, 868.3, 901.6, 866.8, 1354.1, 920.4, 1875.9, 1209.3, 447.7, 1677.5, 1350.2, 1074.0, 2415.7, 580.6, 1018.7, 1598.0,, 732.8, 726.7, 1205.2, 1217.0, 1646.8, 671.8, 1329.9, 1095.2, 816.4, 715.8, 1459.4, 1704.2, 481.2, 1249.7, 1843.5, 410.4, 1114.1, 1330.0
1965, 812.1, 1492.9, 2251.7, 727.2, 2388.0, 1652.2, 983.8, 1398.4, 1855.9, 882.0, 1839.4, 1450.1, 1293.1, 1230.6, 950.0, 1293.0, 884.3, 913.3, 873.2, 1529.7, 934.9, 1830.3, 1192.8, 444.2, 1651.7, 1426.6, 1226.5, 2222.5, 624.2, 976.9, 1699.8, 1401.8, 779.6, 748.5, 1160.8, 1137.3, 1798.9, 707.3, 1255.9, 1001.2, 878.7, 684.7, 1514.2, 2008.8, 536.0, 1250.9, 1815.7, 418.2, 1102.8, 1397.6
1966, 869.6, 1600.7, 2630.1, 774.4, 2506.2, 1831.3, 1040.7, 1458.8, 2077.5, 943.5, 1971.0, 1451.9, 1418.6, 1286.7, 1131.2, 1366.3, 896.4, 1073.7, 907.1, 1668.1, 989.1, 2038.7, 1305.5, 448.6, 1606.3, 1555.1, 1267.0, 2091.2, 647.7, 1121.7, 1856.3, 1568.7, 825.2, 862.9, 1220.9, 1240.2, 1935.5, 728.7, 1262.7, 1060.2, 1021.1, 863.1, 1646.1, 2262.5, 552.6, 1272.2, 2065.9, 509.8, 1315.5, 1597.9
1967, 895.0, 1630.9, 3055.3, 879.1, 2748.8, 2019.5, 1112.6, 1500.2, 2206.8, 973.6, 2082.8, 1318.6, 1486.1, 1389.3, 1235.8, 1548.6, 950.9, 1176.3, 990.4, 1932.3, 1011.6, 2123.5, 1464.4, 471.9, 1630.7, 1635.2, 1299.7, 2513.3, 632.4, 1262.5, 1932.0, 1715.1, 911.8, 1046.9, 1400.2, 1348.9, 2176.8, 803.9, 1502.1, 1058.4, 1044.1, 944.2, 1796.6, 2217.0, 559.2, 1428.7, 2463.5, 542.0, 1496.8, 1637.8
1968, 967.7, 1915.9, 3022.2, 1068.9, 3032.3, 2262.0, 1420.5, 1619.3, 2398.5, 1043.1, 2483.7, 1459.1, 1705.2, 1562.5, 1436.5, 1752.2, 971.7, 1232.1, 970.1, 2050.6, 1229.0, 2150.5, 1670.2, 556.4, 1832.3, 1687.7, 1451.8, 2451.9, 745.7, 1487.8, 2245.5, 2071.1, 962.8, 1057.8, 1540.9, 1502.1, 2321.3, 923.9, 1893.1, 1065.9, 1133.8, 967.1, 1957.1, 2469.2, 593.6, 1559.9, 2435.6, 614.7, 1597.7, 1779.7
1969, 1037.8, 2196.8, 3144.2, 1206.5, 3282.7, 2559.2, 1663.0, 1859.8, 2538.4, 1182.9, 2606.0, 1894.6, 1806.8, 1677.8, 1516.9, 2049.9, 1072.0, 1373.1, 1142.7, 2220.7, 1399.3, 2485.0, 1771.0, 563.3, 2089.2, 1813.7, 1525.6, 2859.7, 858.7, 1515.6, 2577.7, 2005.7, 1126.1, 1105.7, 1663.9, 1462.7, 2543.9, 941.4, 2148.2, 1266.7, 1223.5, 975.8, 2160.8, 2742.0, 805.5, 1690.1, 2716.4, 599.6, 1685.1, 1870.0
