Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1960, 186.6, 104.3, 207.7, 107.7, 239.0, 137.3, 36.6, 84.0, 223.4, 158.8, 21.8, 38.2, 365.1, 84.6, 23.8, 58.4, 97.3, 153.2, 29.8, 151.3, 48.8, 217.7, 42.0, 102.7, 172.9, 67.1, 41.8, 145.8, 13.3, 114.3, 143.0,, 223.5, 14.2, 83.7, 97.0, 69.7, 99.0, 36.8, 143.7, 41.4, 91.1, 161.0, 54.3, 9.5, 183.7, 56.6, 64.5, 31.9, 109.7
1961, 168.5, 88.9, 164.5, 100.7, 232.7, 149.3, 33.6, 69.4, 217.8, 157.2, 24.5, 32.5, 362.2, 85.8, 23.1, 58.4, 94.5, 135.7, 33.7, 155.6, 53.1, 207.4, 43.4, 102.7, 166.0, 67.0, 41.0, 183.6, 14.3, 107.0, 130.0,, 201.0, 25.0, 80.9, 103.3, 69.0, 97.9, 42.9, 137.8, 35.5, 108.2, 157.8, 49.2, 20.0, 186.1, 58.1, 63.1, 31.5, 85.2
1962, 157.3, 91.5, 173.0, 91.4, 234.8, 156.8, 36.1, 72.1, 192.1, 151.2, 36.9, 33.5, 383.7, 88.9, 20.1, 66.6, 96.1, 137.2, 27.7, 154.0, 62.1, 226.6, 48.2, 92.5, 185.4, 55.0, 42.9, 212.2, 28.2, 126.1, 131.2,, 201.5, 19.9, 82.9, 101.2, 78.4, 104.2, 46.5, 123.6, 38.7, 103.7, 153.4, 57.3, 14.6, 184.8, 63.6, 64.6, 28.7, 42.7
1963, 182.7, 109.7, 194.2, 107.2, 241.2, 130.3, 44.7, 89.1, 215.0, 169.5, 31.0, 50.8, 330.3, 102.7, 22.6, 82.3, 92.1, 169.6, 31.2, 160.6, 66.2, 227.7, 56.7, 77.7, 199.4, 58.6, 40.5, 205.2, 26.2, 136.8, 135.2,, 210.9, 28.7, 89.3, 112.9, 76.3, 111.0, 56.5, 164.1, 37.7, 102.2, 169.6, 60.8, 23.6, 190.7, 66.7, 66.6, 32.3, 63.2
1964, 213.1, 150.0, 213.0, 136.6, 265.6, 158.6, 64.1, 110.2, 289.9, 192.9, 82.0, 77.6, 351.9, 136.0, 36.5, 115.6, 110.4, 205.9, 51.2, 217.0, 85.4, 261.2, 73.9, 178.0, 216.7, 80.0, 52.4, 240.9, 22.8, 156.5, 160.0,, 254.4, 35.5, 114.7, 146.4, 107.4, 123.6, 63.2, 165.9, 57.1, 118.6, 190.1, 89.5, 21.8, 241.2, 92.5, 75.6, 42.9, 83.1
1965, 199.8, 149.0, 192.3, 135.8, 282.2, 152.7, 69.7, 111.1, 299.5, 201.4, 69.1, 71.2, 322.7, 137.1, 38.7, 107.1, 108.9, 203.1, 44.0, 285.1, 98.5, 297.6, 86.5, 170.1, 235.4, 72.8, 57.7, 216.6, 23.3, 153.9, 198.9, 325.4, 259.6, 34.2, 124.8, 134.5, 120.6, 142.2, 78.5, 177.2, 59.0, 138.7, 199.3, 89.5, 22.4, 227.6, 103.0, 78.0, 46.1, 75.6
1966, 230.3, 150.4, 202.2, 162.9, 305.1, 168.9, 74.6, 127.9, 337.8, 203.3, 83.3, 66.4, 364.8, 146.3, 44.2, 111.9, 131.7, 241.2, 49.4, 311.0, 115.2, 332.1, 103.2, 150.6, 247.3, 72.2, 64.6, 217.4, 38.0, 161.9, 217.3, 342.6, 295.5, 35.5, 151.6, 144.5, 126.3, 131.0, 94.5, 226.0, 83.3, 158.3, 226.8, 113.9, 19.8, 230.7, 123.3, 89.9, 47.7, 83.0
1967, 238.6, 160.7, 238.2, 219.5, 352.1, 191.8, 95.9, 180.9, 390.3, 189.3, 80.0, 68.4, 394.3, 162.9, 58.4, 142.8, 140.6, 275.0, 63.8, 474.1, 127.6, 389.0, 132.0, 113.8, 276.9, 83.9, 113.2, 247.7, 31.8, 188.5, 231.8, 409.7, 318.1, 29.0, 185.0, 148.4, 157.4, 138.6, 128.4, 231.4, 86.9, 208.4, 246.1, 116.6, 20.6, 227.7, 154.0, 97.0, 70.4, 93.3
1968, 232.4, 175.5, 263.6, 216.7, 422.9, 263.0, 129.3, 241.2, 453.1, 215.8, 85.1, 73.5, 408.0, 201.9, 68.5, 150.4, 164.7, 314.6, 64.7, 623.0, 164.0, 426.7, 140.2, 145.0, 328.9, 88.0, 146.3, 278.4, 39.7, 236.1, 250.5, 543.9, 351.0, 27.7, 200.4, 177.6, 197.0, 176.8, 137.3, 217.4, 85.7, 220.5, 270.2, 116.2, 37.2, 278.9, 212.8, 108.5, 80.7, 88.3
1969, 250.4, 221.3, 339.2, 220.1, 462.3, 298.8, 147.2, 294.1, 462.9, 242.1, 86.1, 112.3, 448.5, 198.1, 69.0, 166.9, 177.8, 360.3, 74.9, 645.3, 187.9, 502.5, 142.0, 141.9, 392.6, 98.3, 158.9, 359.3, 45.3, 241.0, 289.8, 577.9, 348.1, 35.8, 248.1, 185.9, 222.8, 193.9, 175.0, 239.6, 77.4, 231.7, 328.1, 139.7, 53.3, 266.3, 242.3, 97.1, 80.6, 89.4
1970, 295.7, 278.0, 370.3, 222.3, 474.8, 356.7, 170.4, 327.5, 498.2, 304.5, 121.8, 123.3, 467.9, 234.6, 79.3, 202.8, 222.3, 413.5, 89.3, 624.9, 202.9, 575.7, 152.0, 179.3, 405.9, 111.5, 184.1, 398.6, 56.0, 287.1, 304.4, 685.0, 370.2, 34.2, 284.3, 202.9, 256.9, 220.2, 204.7, 286.1, 92.5, 274.9, 365.3, 137.7, 74.0, 302.0, 221.3, 123.7, 85.8, 113.1
1971, 311.4, 355.3, 400.6, 240.7, 518.6, 373.6, 193.7, 369.2, 547.9, 340.9, 231.9, 125.3, 477.3, 247.1, 98.9, 214.5, 235.1, 413.1, 90.0, 621.4, 266.0, 574.6, 154.4, 276.3, 386.5, 137.1, 155.8, 372.2, 76.1, 362.2, 387.8, 788.7, 387.7, 38.1, 298.4, 257.4, 293.6, 268.7, 221.8, 311.7, 96.1, 313.8, 376.0, 153.7, 72.7, 326.3, 236.4, 131.9, 88.4, 156.5
1972, 313.2, 370.5, 448.9, 244.7, 540.7, 405.4, 199.2, 386.0, 554.5, 377.6, 155.5, 143.5, 508.1, 245.1, 87.4, 209.8, 225.7, 422.4, 111.1, 651.2, 295.2, 555.2, 174.5, 312.7, 383.4, 150.1, 173.0, 429.6, 63.7, 374.3, 431.7, 754.3, 423.6, 45.9, 299.4, 238.8, 297.6, 277.1, 250.4, 386.9, 111.3, 319.0, 354.4, 183.2, 96.3, 346.0, 250.6, 129.1, 96.4, 148.1
1973, 350.1, 384.5, 479.9, 289.9, 565.8, 414.0, 208.7, 350.0, 604.6, 412.4, 155.6, 164.2, 555.9, 257.6, 102.3, 217.5, 220.1, 425.6, 122.4, 641.1, 351.9, 585.2, 177.7, 339.1, 408.7, 167.4, 185.4, 572.1, 82.0, 391.9, 471.9, 741.7, 437.8, 60.8, 291.7, 246.2, 292.7, 272.2, 282.5, 394.6, 126.9, 358.0, 385.4, 208.5, 70.5, 332.7, 271.5, 123.7, 115.4, 216.1
1974, 372.9, 453.1, 566.7, 316.2, 610.6, 429.8, 228.1, 443.1, 677.6, 442.2, 208.0, 183.4, 627.1, 293.3, 121.0, 276.3, 234.0, 472.7, 137.5, 719.1, 388.7, 659.4, 207.3, 334.9, 452.4, 162.4, 239.6, 682.4, 91.5, 403.4, 450.4, 803.0, 488.9, 50.1, 364.1, 280.1, 367.4, 315.0, 282.9, 455.7, 180.9, 386.8, 390.1, 214.6, 75.1, 356.8, 346.3, 137.4, 140.4, 144.6
1975, 392.9, 539.8, 547.8, 348.3, 655.4, 463.1, 268.4, 392.1, 688.5, 459.0, 218.4, 203.7, 670.2, 332.8, 140.7, 278.2, 264.0, 478.4, 219.5, 709.8, 442.6, 685.7, 207.0, 315.9, 493.8, 189.6, 257.8, 678.7, 99.8, 413.0, 534.8, 856.4, 436.5, 53.1, 408.0, 303.3, 438.5, 329.2, 302.3, 511.4, 205.3, 397.0, 390.6, 231.8, 95.1, 380.9, 390.8, 161.7, 151.8, 204.3
1976, 388.8, 540.1, 455.3, 303.9, 669.3, 417.0, 273.2, 321.6, 648.3, 423.1, 229.3, 226.7, 625.8, 315.4, 132.9, 282.6, 262.2, 472.8, 220.0, 633.4, 399.2, 646.0, 189.0, 295.4, 449.4, 180.3, 210.5, 691.0, 86.3, 396.8, 554.4, 868.1, 403.4, 71.9, 388.7, 286.6, 457.4, 294.9, 299.8, 599.2, 186.2, 393.3, 355.7, 220.6, 118.3, 307.7, 388.6, 151.6, 137.7, 218.2
1977, 414.4, 443.2, 494.2, 322.9, 706.0, 511.9, 282.3, 382.1, 686.8, 439.8, 224.8, 236.9, 630.6, 310.6, 144.0, 309.8, 233.6, 524.8, 224.7, 693.8, 425.3, 584.7, 193.8, 288.7, 460.4, 218.0, 199.4, 743.0, 113.1, 392.0, 500.9, 831.8, 407.1, 67.1, 406.7, 316.6, 455.8, 282.8, 301.6, 636.2, 189.1, 389.5, 407.7, 240.0, 149.5, 290.0, 374.9, 152.3, 131.5, 240.9
1978, 419.1, 441.9, 552.1, 344.1, 742.9, 498.0, 315.0, 440.7, 765.6, 482.8, 270.1, 236.4, 676.7, 323.5, 161.4, 318.2, 223.2, 584.9, 207.7, 732.0, 462.0, 577.2, 189.6, 321.2, 467.9, 237.6, 190.5, 780.8, 118.8, 423.5, 528.2, 841.0, 413.4, 67.0, 412.7, 353.0, 502.4, 301.1, 348.1, 637.6, 163.5, 382.6, 435.3, 271.8, 166.3, 286.4, 405.3, 167.7, 132.2, 280.4
1979, 413.3, 491.1, 593.0, 366.2, 811.1, 522.1, 414.2, 537.3, 833.9, 558.7, 289.7, 288.7, 743.9, 338.0, 181.2, 353.6, 248.0, 676.3, 202.5, 795.5, 531.3, 614.2, 221.0, 323.6, 527.2, 224.2, 225.9, 835.6, 139.9, 501.2, 586.0, 917.4, 446.1, 61.3, 457.5, 405.2, 545.4, 333.6, 375.1, 678.3, 159.1, 414.0, 507.9, 304.2, 184.2, 301.0, 434.6, 168.1, 166.1, 350.9
1980, 448.5, 436.0, 650.9, 335.2, 893.6, 528.6, 412.5, 474.8, 983.5, 555.3, 299.5, 313.4, 808.0, 377.8, 200.4, 389.3, 266.7, 665.0, 193.4, 852.4, 601.3, 639.5, 227.8, 341.9, 554.5, 222.6, 224.6, 912.6, 179.8, 604.4, 615.0, 1029.5, 455.0, 54.0, 498.3, 419.5, 490.4, 363.9, 408.5, 660.0, 126.8, 458.1, 550.3, 303.3, 178.8, 307.2, 464.3, 183.7, 182.6, 392.6
1981, 470.5, 615.8, 575.8, 310.3, 863.0, 531.7, 448.1, 509.0, 965.1, 548.2, 247.6, 283.3, 792.5, 341.6, 204.2, 369.4, 289.5, 638.3, 195.6, 887.1, 628.6, 641.9, 228.5, 304.6, 540.2, 253.0, 181.5, 896.4, 147.1, 630.6, 671.7, 1069.6, 436.7, 67.5, 496.6, 426.8, 478.7, 371.7, 441.7, 640.4, 104.8, 412.6, 532.4, 298.6, 128.0, 321.7, 447.3, 174.8, 187.9, 430.1
1982, 447.7, 623.7, 517.0, 324.7, 814.7, 504.2, 399.5, 559.8, 896.8, 478.2, 255.7, 259.2, 774.3, 300.6, 172.7, 335.9, 315.0, 669.1, 163.0, 850.0, 571.4, 656.6, 219.3, 294.6, 506.5, 224.8, 229.6, 805.4, 124.8, 607.4, 734.5, 990.1, 446.3, 61.8, 436.7, 443.9, 473.0, 360.4, 401.8, 720.0, 99.0, 421.1, 577.1, 285.7, 126.9, 309.1, 406.4, 174.8, 190.5, 304.2
1983, 416.0, 613.8, 494.2, 297.7, 772.6, 476.4, 375.0, 453.1, 826.7, 456.7, 252.1, 238.7, 728.1, 283.8, 181.1, 326.6, 322.2, 640.9, 159.6, 807.1, 576.8, 716.7, 190.9, 280.4, 477.2, 212.6, 217.7, 655.2, 125.1, 553.1, 686.8, 914.1, 409.6, 53.7, 397.9, 423.4, 487.8, 342.8, 355.2, 616.8, 120.0, 402.0, 512.2, 256.0, 132.6, 292.5, 371.8, 171.8, 190.9, 237.2
1984, 431.2, 621.6, 516.1, 321.4, 763.4, 457.8, 393.8, 435.7, 868.0, 478.6, 231.9, 235.3, 724.9, 305.2, 198.7, 334.2, 277.8, 678.0, 158.5, 792.3, 523.7, 760.1, 211.5, 282.0, 460.7, 237.6, 225.8, 628.5, 133.9, 527.7, 688.1, 914.3, 403.6, 53.6, 385.3, 407.5, 506.1, 320.6, 334.7, 624.5, 147.5, 445.4, 505.0, 244.2, 145.1, 295.6, 406.4, 168.2, 196.5, 242.1
1985, 457.5, 581.8, 602.5, 347.6, 765.3, 471.0, 402.0, 433.3, 941.1, 507.2, 219.4, 234.8, 714.8, 309.4, 211.7, 355.8, 305.5, 694.2, 167.5, 834.6, 538.2, 734.1, 256.4, 270.9, 503.5, 208.5, 237.9, 667.1, 140.8, 544.5, 703.9, 929.9, 420.9, 47.0, 381.6, 422.0, 551.1, 331.1, 346.6, 631.0, 136.6, 474.4, 550.0, 267.4, 147.7, 294.7, 425.4, 166.0, 206.9, 256.8
1986, 558.0, 570.4, 658.3, 394.8, 920.5, 523.6, 425.8, 427.0, 1036.5, 587.6, 245.2, 222.5, 808.9, 307.7, 235.1, 368.8, 334.4, 758.2, 147.0, 833.0, 556.9, 803.9, 284.6, 274.1, 578.6, 157.4, 262.6, 718.9, 139.5, 572.5, 725.6, 985.9, 475.9, 51.3, 420.9, 436.4, 549.7, 358.6, 335.5, 674.6, 124.7, 539.6, 658.9, 266.7, 149.2, 306.0, 437.0, 164.5, 257.9, 293.1
1987, 559.2, 455.4, 612.6, 412.0, 918.0, 467.5, 419.0, 430.7, 1024.4, 576.5, 263.3, 214.2, 796.2, 328.5, 231.2, 360.7, 337.8, 693.0, 152.1, 767.8, 564.6, 780.1, 285.4, 269.8, 544.6, 151.2, 251.2, 695.7, 149.6, 541.0, 628.5, 1008.1, 484.0, 56.8, 421.3, 417.6, 539.5, 369.4, 359.7, 664.9, 119.7, 533.5, 631.1, 229.8, 136.5, 295.0, 439.5, 137.3, 249.9, 283.1
