Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated burglary rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1960,         355.9,         332.1,         685.5,         302.2,         910.5,         569.9,         333.4,         596.2,         807.1,         392.1,         525.9,         301.4,         577.7,         460.8,         231.2,         353.7,         371.1,         387.3,         278.8,         366.4,         309.2,         725.1,         370.4,         204.7,         595.2,         396.4,         231.5,         913.5,         182.6,         423.6,         455.4,,         279.4,         198.0,         383.9,         551.2,         405.7,         297.8,         510.5,         423.1,         247.9,         462.7,         601.2,         410.4,         242.1,         393.1,         487.5,         234.2,         198.6,         299.9
1961,         339.3,         380.8,         737.7,         308.1,         894.2,         655.9,         364.4,         591.9,         720.5,         437.4,         595.0,         322.1,         586.9,         470.4,         228.7,         331.6,         366.4,         336.6,         299.3,         387.3,         376.1,         724.8,         381.1,         212.3,         611.7,         418.9,         260.7,         911.0,         253.3,         469.7,         443.2,,         292.3,         200.9,         401.8,         533.3,         404.4,         317.3,         454.1,         478.8,         239.9,         462.0,         580.4,         388.4,         335.2,         423.8,         471.9,         237.6,         224.3,         362.7
1962,         349.1,         351.6,         774.9,         311.7,         934.1,         681.1,         395.0,         600.0,         743.3,         460.3,         647.2,         352.1,         555.7,         470.5,         263.8,         339.4,         415.6,         327.1,         307.6,         403.8,         410.4,         721.3,         383.1,         227.5,         603.7,         414.8,         262.4,         886.9,         281.8,         510.3,         515.3,,         310.8,         189.6,         396.3,         513.2,         443.6,         327.9,         462.7,         504.9,         255.6,         461.5,         573.5,         431.2,         374.6,         431.7,         488.9,         216.4,         214.0,         284.4
1963,         376.9,         381.5,         830.3,         327.6,         998.9,         670.5,         470.9,         707.1,         824.6,         468.6,         712.4,         337.3,         541.3,         538.9,         270.4,         370.1,         436.4,         395.8,         302.6,         485.5,         443.1,         725.5,         404.6,         186.0,         661.8,         478.1,         293.8,       1147.0,         279.3,         556.3,         597.2,,         335.0,         190.4,         431.5,         536.0,         483.2,         350.9,         538.4,         575.4,         246.7,         515.9,         609.0,         500.1,         413.8,         451.1,         529.0,         226.3,         236.0,         345.1
1964,         466.6,         443.6,         868.2,         369.1,       1088.7,         679.9,         531.9,         674.7,         963.3,         528.8,         838.8,         330.2,         547.4,         534.7,         290.4,         432.6,         461.3,         482.4,         372.9,         545.9,         529.7,         789.8,         534.9,         266.1,         749.6,         472.1,         326.5,       1082.4,         279.4,         600.8,         672.8,,         399.2,         239.7,         466.3,         600.1,         573.3,         386.0,         643.3,         621.3,         261.5,         561.4,         655.7,         527.5,         260.1,         538.0,         600.3,         268.1,         285.5,         379.3
1965,         473.7,         554.5,         816.5,         323.7,       1209.6,         650.9,         563.5,         647.9,         957.0,         487.4,         980.9,         358.8,         550.2,         556.4,         304.3,         467.5,         444.8,         452.3,         404.9,         638.6,         554.5,         867.5,         530.5,         285.5,         763.0,         452.8,         384.8,         878.0,         316.4,         621.7,         735.0,       1015.0,         409.3,         206.7,         470.5,         555.4,         636.1,         417.3,         596.3,         526.1,         264.3,         522.9,         678.9,         606.9,         323.9,         548.7,         611.1,         253.9,         286.5,         363.2
1966,         527.5,         593.0,         931.1,         360.3,       1277.4,         711.0,         616.6,         762.3,       1057.7,         551.2,       1129.7,         389.9,         560.5,         627.5,         336.5,         476.1,         482.6,         578.5,         364.0,         754.3,         619.1,         984.0,         579.2,         238.4,         782.2,         496.0,         420.1,         931.5,         349.8,         712.9,         917.8,       1074.2,         442.7,         221.4,         490.7,         611.7,         685.1,         423.7,         707.6,         536.2,         318.9,         602.5,         768.7,         689.7,         427.9,         620.5,         669.7,         259.3,         344.8,         383.9
1967,         571.4,         688.6,       1137.3,         443.9,       1446.0,         789.4,         751.7,         832.1,       1220.8,         591.4,       1152.4,         405.9,         608.5,         701.5,         431.6,         598.2,         482.9,         656.2,         457.6,       1014.8,         675.5,       1160.6,         704.4,         257.8,         861.1,         522.3,         491.7,       1066.2,         342.6,         861.4,         851.3,       1195.2,         516.3,         241.2,         607.6,         626.5,         857.4,         487.7,         896.9,         638.8,         341.5,         711.8,         822.4,         685.5,         517.0,         721.1,         837.7,         298.4,         450.3,         506.0
1968,         628.2,         747.3,       1167.4,         569.7,       1644.5,         917.0,         964.4,         885.0,       1327.0,         660.8,       1363.8,         470.6,         683.6,         743.9,         474.1,         615.6,         522.5,         678.0,         513.7,       1301.2,         868.3,       1163.2,         801.8,         313.7,         976.6,         567.8,         507.4,       1282.1,         371.1,       1011.9,         970.2,       1385.3,         539.7,         239.0,         659.4,         726.4,         945.1,         556.3,       1089.6,         708.5,         430.1,         719.7,         939.6,         741.3,         496.0,         786.4,       1019.5,         349.8,         503.8,         545.1
1969,         667.2,         870.6,       1302.6,         651.1,       1676.1,       1133.2,         987.5,         877.2,       1358.3,         701.5,       1304.8,         590.0,         738.7,         819.0,         489.1,         693.3,         569.3,         694.6,         580.0,       1114.7,       1032.6,       1315.5,         779.4,         316.5,       1118.8,         561.8,         482.3,       1366.5,         463.3,         953.0,       1230.8,       1356.2,         611.0,         249.3,         740.1,         724.1,       1124.7,         577.7,         982.4,         806.5,         425.0,         715.0,       1091.9,         848.5,         599.5,         760.2,       1296.5,         322.7,         498.5,         565.0
1970,         776.4,         789.9,       1493.0,         759.4,       1753.0,       1380.9,       1084.2,       1056.2,       1561.8,         899.9,       1456.1,         673.6,         765.4,         925.8,         507.3,         881.7,         703.9,         890.0,         638.5,       1051.2,       1134.1,       1570.7,         801.7,         351.2,       1137.0,         593.7,         504.5,       1660.6,         565.6,       1041.4,       1196.5,       1470.4,         765.8,         286.4,         853.9,         835.4,       1273.4,         599.7,       1018.9,       1019.4,         471.3,         806.7,       1159.9,         915.0,         730.6,         914.6,       1444.5,         388.5,         538.5,         645.9
1971,         791.8,         848.6,       1435.9,         720.9,       1939.8,       1450.0,       1067.3,       1390.5,       1678.4,       1050.7,       1437.1,         741.8,         836.7,         969.0,         531.6,         888.6,         719.0,         911.9,         750.6,       1122.5,       1339.8,       1686.7,         881.7,         444.7,       1167.1,         654.9,         551.4,       1505.9,         666.9,       1215.3,       1417.1,       1488.2,         813.1,         339.8,         932.6,         930.6,       1340.7,         742.3,       1097.4,       1030.7,         453.3,         901.4,       1183.7,         914.7,         726.0,         920.2,       1392.8,         387.7,         629.4,         586.2
1972,         789.6,         970.8,       1615.9,         735.1,       1949.2,       1580.1,         956.8,       1249.4,       1605.1,       1081.7,       1335.6,         754.6,         846.1,         948.4,         521.6,         906.6,         650.2,         903.1,         792.5,       1111.7,       1242.3,       1582.3,         927.2,         540.0,       1100.6,         708.2,         556.7,       1757.5,         596.6,       1194.3,       1469.5,       1306.1,         812.7,         357.1,         901.3,         993.0,       1468.8,         749.1,       1124.0,       1116.7,         472.8,         894.3,       1215.7,         913.2,         738.3,         896.9,       1381.4,         413.0,         638.5,         596.2
1973,         897.3,       1167.3,       1958.3,         888.0,       1979.6,       1598.8,       1029.3,       1219.4,       1857.2,       1268.8,       1535.5,         848.8,       1025.1,       1035.8,         634.0,       1030.5,         679.7,         962.1,         973.4,       1144.6,       1330.3,       1584.6,       1016.4,         593.8,       1234.8,         755.6,         637.4,       2149.8,         685.0,       1244.5,       1501.0,       1348.2,         892.0,         383.4,         943.0,       1163.9,       1607.7,         773.6,       1189.1,       1194.3,         498.7,       1009.8,       1275.8,         989.3,         801.5,         937.6,       1540.4,         415.8,         710.6,         699.7
1974,       1057.9,       1166.8,       2534.0,       1075.2,       2072.0,       1843.1,       1353.9,       1517.8,       2287.3,       1462.4,       1784.8,       1001.8,       1264.2,       1254.6,         791.5,       1268.6,         830.1,       1045.7,       1318.9,       1402.9,       1549.8,       1903.9,       1121.8,         755.7,       1471.3,         887.9,         773.8,       2452.5,         820.4,       1429.4,       1583.1,       1500.9,       1186.9,         433.0,       1171.8,       1455.2,       1843.2,         927.8,       1296.1,       1562.4,         597.1,       1350.1,       1543.0,       1132.9,       1019.4,       1140.9,       1772.5,         551.8,         836.9,         827.3
1975,       1163.8,       1214.5,       2529.9,       1077.1,       2217.3,       2001.2,       1512.6,       1826.3,       2349.6,       1580.7,       1826.8,       1063.0,       1409.7,       1376.4,         818.5,       1369.5,         962.8,       1114.6,       1361.5,       1413.2,       1712.5,       1891.8,       1193.1,         784.2,       1512.6,         875.1,         760.2,       2447.1,         853.1,       1521.2,       1728.7,       1666.6,       1285.1,         539.2,       1271.4,       1551.8,       1911.6,         983.3,       1446.3,       1714.2,         667.8,       1379.3,       1665.6,       1187.8,       1100.0,       1165.7,       1723.1,         591.0,         918.5,         863.4
1976,       1170.0,       1218.1,       2366.6,         937.5,       2174.6,       1879.9,       1383.9,       1542.6,       1954.7,       1448.4,       1881.6,       1036.7,       1258.4,       1215.6,         827.1,       1325.5,         930.2,       1140.6,       1313.2,       1359.9,       1662.1,       1668.5,       1122.1,         811.3,       1403.2,         841.0,         684.2,       2392.5,         937.5,       1504.2,       1679.5,       1763.5,       1175.5,         478.5,       1203.2,       1317.5,       1699.7,         906.0,       1414.2,       1553.6,         620.4,       1320.5,       1547.8,       1137.9,       1022.7,       1019.1,       1642.4,         573.1,         843.8,         764.6
1977,       1135.5,       1331.7,       2346.1,         972.6,       2139.4,       1935.2,       1346.0,       1682.6,       1859.9,       1351.1,       1911.5,       1050.8,       1257.0,       1086.2,         812.5,       1270.4,         872.2,       1165.5,       1253.1,       1400.0,       1532.2,       1522.7,       1134.7,         915.6,       1318.3,         804.9,         760.0,       2453.1,       1041.7,       1435.8,       1418.7,       1728.0,       1154.1,         446.1,       1216.0,       1288.2,       1636.4,         877.5,       1489.5,       1613.6,         570.5,       1492.3,       1603.1,       1171.6,       1348.2,         986.2,       1605.6,         597.4,         846.9,         811.6
1978,       1229.3,       1339.2,       2082.5,         967.1,       2193.3,       1869.6,       1362.0,       1623.7,       1978.8,       1475.6,       1937.7,       1038.4,       1350.7,       1108.3,         870.6,       1286.8,         884.6,       1275.5,       1241.2,       1421.8,       1515.1,       1444.3,       1093.7,         846.3,       1345.2,         786.0,         746.8,       2659.2,       1159.7,       1456.3,       1335.6,       1650.6,       1184.0,         423.0,       1214.5,       1299.8,       1617.1,         899.9,       1392.6,       1498.6,         599.7,       1213.6,       1611.9,       1187.1,       1261.2,         990.8,       1766.6,         648.3,         846.3,         836.1
1979,       1287.3,       1383.3,       1996.6,         984.3,       2186.8,       1794.4,       1548.3,       1527.5,       2154.4,       1594.0,       1807.4,       1075.0,       1440.6,       1169.9,         922.1,       1329.8,         909.6,       1396.8,       1147.9,       1509.5,       1604.6,       1507.5,       1112.9,         973.7,       1446.7,         803.3,         813.5,       2820.4,       1199.0,       1601.5,       1481.5,       1746.9,       1296.6,         461.0,       1287.2,       1474.6,       1609.9,         934.9,       1550.1,       1506.1,         626.4,       1294.7,       1791.2,       1178.9,       1577.9,       1082.6,       1783.6,         636.8,         949.3,         863.8
1980,       1526.7,       1259.8,       2155.4,       1119.0,       2316.5,       2030.8,       1700.6,       1630.5,       2506.8,       1699.2,       1847.5,       1238.9,       1559.6,       1313.3,       1079.5,       1521.4,       1040.8,       1523.9,       1182.8,       1698.0,       1740.4,       1741.3,       1246.0,       1179.1,       1668.9,         950.6,         915.4,       2906.7,       1312.9,       1878.2,       1492.5,       2061.6,       1422.9,         488.3,       1466.3,       1692.7,       1748.4,       1038.5,       1716.3,       1670.0,         692.5,       1501.5,       1853.2,       1321.9,       1526.7,       1202.6,       1862.2,         738.5,       1079.4,         903.7
