Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated forcible rape rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1960,           8.6,          20.8,          16.1,           8.9,          18.2,          13.1,           4.1,           9.2,           8.1,           7.5,           3.3,           7.2,          17.6,           5.1,           3.7,           5.0,           5.4,           8.6,           5.0,           7.2,           4.8,          14.5,           2.4,           5.1,          14.5,           7.1,           4.2,          12.6,           4.1,           7.3,          12.3,,           7.8,           2.2,           5.9,          12.8,           9.4,           8.8,           2.3,           9.9,           5.4,           5.4,           9.3,           6.8,           2.3,           8.0,           5.8,           4.2,           2.8,           7.0
1961,           7.6,          13.2,          14.4,           7.2,          18.5,          12.9,           2.4,           5.9,           7.6,           9.5,           3.8,           6.4,          17.2,           5.3,           2.9,           5.4,           4.7,           8.0,           5.8,           8.2,           5.6,          13.7,           2.7,           5.8,          13.2,           7.0,           3.3,           8.0,           3.1,           7.3,          12.9,,           7.3,           5.2,           5.6,          12.1,           7.7,           7.3,           1.7,           9.3,           6.1,           6.7,           9.5,           6.8,           9.1,          10.2,           6.2,           4.4,           2.5,           3.6
1962,           6.5,          18.7,          13.1,           6.8,          17.4,          14.8,           3.1,           9.4,           5.8,          10.7,           2.5,           3.6,          18.6,           6.1,           3.8,           6.6,           5.7,           6.8,           2.8,           8.7,           5.0,          14.2,           3.6,           4.3,          12.6,           7.3,           6.3,          19.7,           3.5,           8.2,          12.5,,           7.7,           4.2,           5.2,           7.4,           9.3,           8.3,           2.1,           7.1,           5.8,           6.6,           9.3,           7.9,           6.2,           8.2,           6.3,           4.2,           2.4,           7.7
1963,           5.7,          14.9,          14.2,           6.1,          17.5,          14.5,           3.3,           9.0,           7.0,           9.6,           2.6,           5.5,          13.9,           8.1,           3.6,           6.7,           5.4,           6.2,           3.7,           9.4,           4.5,          15.0,           2.6,           4.3,          13.7,           8.3,           7.0,          16.3,           4.8,           8.7,          12.2,,           7.3,           3.5,           6.1,           8.0,           8.8,           8.1,           2.3,           6.0,           5.3,           6.7,           9.8,           7.8,           8.5,           9.6,           6.4,           4.2,           2.8,           6.2
1964,          11.7,          22.4,          16.4,           8.1,          20.0,          17.1,           5.5,           8.1,          10.3,          12.3,           2.6,           5.9,          15.0,          10.5,           5.0,          11.1,           8.0,          11.1,           7.8,          10.1,           6.0,          19.8,           4.5,           9.4,          15.0,           7.5,           5.7,          13.2,           3.8,           9.1,          12.3,,           9.6,           7.0,           7.1,          10.9,          12.0,           9.3,           2.7,          10.6,           5.5,           8.8,          11.3,          10.1,           5.9,          11.6,           7.7,           5.0,           3.0,          10.2
1965,          10.6,          17.8,          17.8,          10.4,          21.2,          16.2,           5.2,           6.5,          13.3,          13.4,            .8,           5.5,          16.0,          10.6,           4.5,           9.1,           6.6,          11.1,           4.3,          13.9,           5.4,          24.0,           5.2,           6.9,          18.1,           7.8,           5.1,          15.5,           2.1,           8.9,          13.8,          12.8,           9.1,           5.1,           8.9,          11.1,          11.9,          10.3,           3.8,          11.2,           6.8,          11.1,          10.7,           8.9,           6.5,          12.0,          10.2,           4.2,           3.6,          11.5
1966,           9.7,          19.5,          18.3,           9.8,          23.4,          17.3,           6.0,           9.6,          14.7,          14.6,           4.9,           9.5,          16.6,          10.6,           4.8,           8.9,           8.3,          16.6,           4.9,          15.3,           6.4,          28.2,           7.3,           8.0,          17.6,           9.0,           6.7,          11.5,           4.4,           9.3,          13.5,          13.4,          10.8,           4.3,           9.3,          13.7,          12.6,          10.9,           5.0,          13.6,           8.9,          10.8,          11.5,          10.2,           6.9,          12.0,          11.6,           5.1,           3.6,          12.2
1967,          10.5,          17.6,          16.7,          14.2,          25.0,          20.9,           5.6,          11.5,          15.2,          12.4,           5.0,           8.7,          17.9,          12.7,           5.6,          10.7,           9.1,          16.5,           6.0,          19.6,           7.6,          26.6,           8.6,           5.5,          17.1,          10.3,           8.2,          14.4,           3.4,           9.7,          15.5,          14.5,          11.3,           4.7,          10.3,          13.7,          12.4,           9.9,           4.8,          14.6,           8.3,          12.5,          13.1,           7.2,           4.3,          13.2,          12.5,           4.7,           4.6,           7.3
1968,          11.1,          21.7,          18.7,          17.3,          29.9,          26.1,           8.0,          14.0,          18.1,          13.5,           7.2,           8.4,          16.4,          14.6,           6.8,          13.2,          10.2,          16.4,           6.7,          26.0,           9.5,          31.3,          10.9,           7.6,          23.3,           7.2,           7.2,          17.4,           2.7,          11.3,          21.1,          14.0,          11.3,           4.6,          12.4,          15.2,          17.2,          10.3,           3.7,          15.0,          10.2,          11.6,          14.5,          11.1,           7.3,          15.6,          17.1,           4.4,           6.2,           8.9
1969,          14.0,          29.4,          23.0,          17.4,          36.3,          28.8,           8.7,          13.7,          21.2,          17.1,          12.2,          10.0,          19.1,          16.9,           6.4,          15.1,          11.4,          22.1,           5.9,          29.9,          10.8,          32.3,          11.5,           9.1,          27.3,          11.1,           6.8,          20.6,           4.0,          12.8,          25.1,          15.8,          11.9,           4.1,          15.3,          14.3,          18.3,          12.1,           4.0,          14.0,          11.1,          12.7,          19.2,          14.1,           9.1,          16.4,          19.4,           5.1,           7.2,          11.6
