Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated motor vehicle theft rate
Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1960,          87.3,         242.3,         338.4,          50.3,         340.1,         213.8,         129.7,         165.6,         187.6,         147.4,         269.9,         100.0,         353.3,         167.6,          76.0,          87.2,         124.5,         190.4,         123.0,         184.1,         211.1,         179.5,         136.7,          48.3,         184.8,         243.5,         125.4,         391.9,          57.8,         196.3,         263.4,,          86.9,          68.0,         134.6,         195.9,         130.7,         122.4,         308.7,         109.2,          86.6,         121.5,         166.8,         158.8,          86.9,         126.7,         158.0,          69.4,         104.4,         114.8
1961,          76.8,         209.8,         355.4,          60.6,         332.7,         276.5,         130.8,         163.1,         169.7,         157.0,         304.9,         113.0,         354.8,         176.8,          69.8,          85.7,         108.3,         169.6,          76.0,         197.5,         271.6,         176.3,         134.6,          59.2,         167.9,         223.3,         115.6,         473.6,          73.3,         206.6,         221.0,,          89.8,          70.2,         122.0,         190.4,         138.9,         120.1,         251.1,         117.5,          91.9,         139.2,         156.8,         177.5,          84.6,         134.7,         169.6,          68.3,          85.8,         113.9
1962,          83.4,         227.6,         357.6,          73.9,         339.2,         322.2,         146.2,         184.2,         168.3,         191.5,         319.3,         118.9,         371.7,         194.1,          73.4,         102.3,         115.8,         184.3,          89.7,         195.1,         303.6,         199.4,         143.7,          54.9,         202.1,         224.4,         121.0,         503.6,          85.1,         234.4,         224.4,,          92.1,          83.5,         136.5,         200.0,         148.3,         136.3,         267.3,         116.6,          93.9,         158.1,         167.9,         210.0,          89.7,         128.4,         177.3,          71.3,         103.6,         135.9
1963,          90.6,         357.7,         368.0,          83.3,         362.2,         306.5,         183.9,         203.2,         171.2,         207.7,         241.2,          98.2,         381.6,         213.0,          81.5,         108.0,         128.1,         198.1,         101.6,         237.6,         366.0,         225.8,         147.8,          49.2,         240.3,         245.1,         125.4,         672.6,          91.1,         260.1,         232.0,,         106.1,          96.4,         147.9,         191.9,         171.0,         159.4,         271.0,         133.2,          91.7,         165.7,         171.9,         185.8,         118.2,         134.0,         177.9,          74.0,         120.3,         136.8
1964,         108.0,         354.0,         338.3,          97.1,         419.1,         271.2,         206.7,         260.1,         206.4,         231.7,         257.2,          96.8,         405.7,         225.6,          95.8,         139.6,         143.3,         230.9,         111.2,         270.0,         452.1,         262.3,         181.3,          54.9,         259.5,         200.9,         148.8,         516.9,          83.9,         283.2,         239.4,,         112.8,          90.5,         183.4,         200.8,         207.9,         186.7,         322.1,         170.0,          84.3,         175.8,         202.2,         202.6,          99.3,         158.2,         192.7,          78.5,         142.9,         119.2
1965,         106.9,         407.1,         287.3,          87.5,         439.6,         248.7,         217.4,         251.3,         207.8,         193.5,         363.0,         102.3,         379.9,         246.5,         104.7,         122.7,         151.7,         202.5,          94.0,         306.0,         533.5,         323.6,         201.6,          77.3,         262.1,         198.0,         162.8,         437.0,          87.7,         294.1,         225.9,         323.4,         120.0,          76.8,         189.9,         192.7,         202.5,         221.4,         319.9,         154.5,          73.7,         166.7,         191.4,         208.5,          98.0,         172.1,         191.5,          69.4,         153.5,         136.2
1966,         131.0,         441.5,         372.3,          85.2,         460.7,         298.3,         250.3,         270.7,         243.3,         181.7,         319.2,         103.2,         415.3,         275.5,         131.9,         147.8,         227.7,         264.8,         106.6,         430.2,         551.8,         353.5,         246.3,          59.6,         284.6,         232.6,         173.8,         385.2,         102.5,         332.0,         272.2,         352.5,         140.9,          87.2,         235.5,         196.7,         240.2,         209.9,         514.0,         160.2,          90.6,         193.1,         231.0,         264.2,         116.8,         205.3,         240.4,          77.5,         191.6,         150.8
1967,         146.0,         404.4,         407.2,          86.0,         508.1,         308.4,         321.1,         378.4,         285.7,         199.9,         404.2,         112.9,         421.7,         338.9,         155.2,         184.9,         281.8,         281.3,         111.1,         489.1,         667.4,         389.0,         292.4,          56.7,         355.0,         215.7,         188.2,         476.8,         111.8,         425.3,         255.2,         456.9,         146.1,          82.3,         325.6,         190.7,         273.4,         236.3,         608.9,         162.3,          84.1,         243.1,         264.5,         225.3,         124.9,         241.2,         281.5,          87.4,         214.6,         174.9
1968,         170.7,         482.3,         421.2,         103.2,         621.4,         420.6,         376.1,         420.0,         319.9,         236.4,         505.8,         118.2,         441.0,         411.9,         164.6,         205.5,         332.2,         282.6,         133.7,         605.0,         806.6,         430.2,         351.1,          72.0,         446.4,         198.4,         302.4,         449.7,         141.3,         518.5,         330.7,         579.0,         153.3,          80.6,         380.2,         215.2,         270.6,         280.0,         765.5,         183.8,         103.5,         267.4,         311.4,         255.2,          85.8,         262.3,         297.1,          92.0,         204.1,         136.8
1969,         171.2,         591.5,         438.6,         110.9,         678.6,         507.0,         427.8,         470.6,         382.9,         273.0,         535.9,         131.5,         474.5,         394.5,         177.5,         228.0,         345.9,         324.2,         143.6,         592.6,         858.8,         501.2,         384.3,          72.9,         578.5,         215.9,         284.5,         560.2,         143.2,         521.0,         414.2,         629.9,         166.5,          95.1,         482.1,         244.7,         318.5,         304.8,         823.2,         238.4,         105.9,         281.6,         386.6,         297.7,         113.0,         291.4,         380.7,          85.4,         223.9,         177.2
